facility_id,facility_name,address,city,state,zip_code,county,phone,hospital_type,hospital_ownership,emergency_services,birthing_friendly,overall_rating,readm_group_measure_count,readm_n_measures,readm_n_better,readm_n_no_different,readm_n_worse,overall_rating_footnote,readm_group_footnote,pt_exp_group_footnote,pt_exp_group_measure_count,pt_exp_n_measures,census_region,edac_30_hf_score,edac_30_hf_compared,edac_30_hf_denominator,edac_30_hf_lower,edac_30_hf_higher,edac_30_hf_footnote,edac_30_pn_score,edac_30_pn_compared,edac_30_pn_denominator,edac_30_pn_lower,edac_30_pn_higher,edac_30_pn_footnote,readm_30_ami_score,readm_30_ami_compared,readm_30_ami_denominator,readm_30_ami_lower,readm_30_ami_higher,readm_30_ami_footnote,readm_30_copd_score,readm_30_copd_compared,readm_30_copd_denominator,readm_30_copd_lower,readm_30_copd_higher,readm_30_copd_footnote,readm_30_hf_score,readm_30_hf_compared,readm_30_hf_denominator,readm_30_hf_lower,readm_30_hf_higher,readm_30_hf_footnote,readm_30_pn_score,readm_30_pn_compared,readm_30_pn_denominator,readm_30_pn_lower,readm_30_pn_higher,readm_30_pn_footnote,h_comp_1_linear_score,h_comp_1_linear_score_n_surveys,h_comp_1_star_rating,h_comp_1_star_rating_n_surveys,h_hsp_rating_linear_score,h_hsp_rating_linear_score_n_surveys,h_hsp_rating_star_rating,h_hsp_rating_star_rating_n_surveys,h_star_rating,h_star_rating_n_surveys,edv_score,edv_footnote,op_18b_score,op_18b_footnote
010001,SOUTHEAST HEALTH MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,(334) 793-8701,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Yes,4,11,11,1,9,1,,,,15,15,South,-14.4,Average days per 100 discharges,659,-59.7,52.9,,0.7,Average days per 100 discharges,586,-35.1,50.0,,14.1,No different than the national rate,398,11.9,16.6,,20.4,No different than the national rate,232,17.9,23.0,,19.9,No different than the national rate,1107,17.7,22.3,,15.6,No different than the national rate,1012,13.7,17.7,,91,1392,3,1392,90,1392,4,1392,4,1392,Very high,,212.0,
010005,MARSHALL MEDICAL CENTERS,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,(256) 593-8310,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Yes,3,11,9,1,8,0,,,,15,15,South,16.4,Average days per 100 discharges,160,-36.5,93.0,,-8.2,Average days per 100 discharges,315,-39.0,33.1,,,Number of cases too small,,,,1,18.8,No different than the national rate,220,16.2,21.9,,20.4,No different than the national rate,199,18.2,22.9,,15.3,No different than the national rate,461,13.4,17.4,,90,745,3,745,87,745,3,745,3,745,Very high,,143.0,
010006,NORTH ALABAMA MEDICAL CENTER,1701 VETERANS DRIVE,FLORENCE,AL,35630,LAUDERDALE,(256) 768-8400,Acute Care Hospitals,Proprietary,Yes,Yes,2,11,9,1,8,0,,,,15,15,South,13.0,Average days per 100 discharges,424,-37.3,88.0,,28.0,Average days per 100 discharges,691,-18.3,94.7,,14.1,No different than the national rate,444,12.0,16.5,,23.6,Worse than the national rate,340,20.4,27.2,,23.1,No different than the national rate,601,20.7,25.7,,17.8,No different than the national rate,948,15.7,20.3,,89,1781,2,1781,84,1781,2,1781,2,1781,High,,147.0,
010007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,COVINGTON,(334) 493-3541,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,1,11,5,0,3,2,,,,15,5,South,41.2,Average days per 100 discharges,47,-14.3,125.3,,60.3,More days than average per 100 discharges,78,3.8,143.6,,,Number of cases too small,,,,1,19.8,No different than the national rate,51,16.8,23.0,,21.7,No different than the national rate,62,19.3,24.3,,17.1,No different than the national rate,102,14.9,19.6,,,84,,84,,84,,84,,84,Low,,130.0,
010011,ST. VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,JEFFERSON,(205) 838-3122,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,3,11,8,1,5,2,29,29,29,15,10,South,12.9,Average days per 100 discharges,259,-32.6,85.2,29,-6.9,Average days per 100 discharges,294,-42.0,44.8,29,13.6,No different than the national rate,182,11.4,16.0,29,20.0,No different than the national rate,128,17.2,23.3,29,21.4,No different than the national rate,537,19.0,23.9,29,16.7,No different than the national rate,576,14.5,19.0,29,90,1203,3,1203,87,1203,3,1203,3,1203,,5,158.0,
010012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DE KALB,(256) 845-3150,Acute Care Hospitals,Proprietary,Yes,Yes,2,11,8,0,6,2,,,,15,15,South,-0.3,Average days per 100 discharges,92,-41.0,55.2,,7.7,Average days per 100 discharges,135,-29.4,57.7,,14.1,No different than the national rate,51,11.9,16.7,,20.2,No different than the national rate,46,17.1,23.9,,22.2,No different than the national rate,155,19.7,25.0,,18.5,No different than the national rate,187,16.1,21.2,,92,239,4,239,85,239,2,239,3,239,Medium,,164.0,
010016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,SHELBY,(205) 620-8100,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,2,11,9,0,8,1,,,,15,15,South,-16.7,Average days per 100 discharges,219,-57.7,46.0,,7.9,Average days per 100 discharges,220,-31.0,64.6,,14.1,No different than the national rate,196,12.1,16.4,,21.4,No different than the national rate,105,18.2,24.9,,19.9,No different than the national rate,499,17.7,22.3,,18.2,No different than the national rate,472,16.0,20.8,,90,908,3,908,85,908,2,908,3,908,Medium,,182.0,
010019,HELEN KELLER HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,COLBERT,(256) 386-4556,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Yes,2,11,7,1,5,1,,,,15,15,South,9.6,Average days per 100 discharges,247,-35.0,74.2,,25.5,Average days per 100 discharges,258,-16.1,89.5,,,Number of cases too small,,,,1,20.6,No different than the national rate,209,17.8,24.1,,20.6,No different than the national rate,312,18.1,23.1,,17.4,No different than the national rate,382,15.1,19.9,,94,425,5,425,91,425,4,425,4,425,Medium,,188.0,
010021,DALE MEDICAL CENTER,126 HOSPITAL AVE,OZARK,AL,36360,DALE,(334) 774-2601,Acute Care Hospitals,Government - Hospital District or Authority,Yes,,,11,3,0,2,1,16,,,15,5,South,,Number of cases too small,,,,1,40.9,Average days per 100 discharges,74,-2.7,108.2,,,Number of cases too small,,,,1,19.8,No different than the national rate,32,16.7,23.3,,20.6,No different than the national rate,27,18.3,23.2,,16.9,No different than the national rate,92,14.6,19.5,,,62,,62,,62,,62,,62,Low,,148.0,
010022,FLOYD CHEROKEE MEDICAL CENTER,400 NORTHWOOD DR,CENTRE,AL,35960,CHEROKEE,(256) 927-5531,Acute Care Hospitals,Proprietary,Yes,,,11,2,0,2,0,16,,5,15,,South,,Number of cases too small,,,,1,-28.4,Average days per 100 discharges,33,-49.0,3.7,,,,,,,5,19.8,No different than the national rate,26,16.7,23.3,,,Number of cases too small,,,,1,17.0,No different than the national rate,48,14.7,19.7,,,53,,53,,53,,53,,53,Low,,123.0,
010023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116,MONTGOMERY,(334) 288-2100,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Yes,2,11,11,1,8,2,,,,15,15,South,22.0,Average days per 100 discharges,273,-36.9,107.9,,22.2,Average days per 100 discharges,208,-24.5,92.1,,14.1,No different than the national rate,325,12.0,16.6,,20.5,No different than the national rate,193,17.6,23.8,,21.8,No different than the national rate,552,19.4,24.5,,17.7,No different than the national rate,413,15.5,20.0,,90,1566,3,1566,86,1566,3,1566,3,1566,High,,220.0,
010024,JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,MONTGOMERY,AL,36106,MONTGOMERY,(334) 293-8000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Yes,2,11,10,0,10,0,,,,15,15,South,10.1,Average days per 100 discharges,297,-40.8,81.7,,-6.8,Average days per 100 discharges,272,-40.5,44.7,,15.0,No different than the national rate,214,12.7,17.4,,18.3,No different than the national rate,190,15.4,21.6,,20.1,No different than the national rate,567,17.8,22.6,,16.2,No different than the national rate,509,14.1,18.5,,91,672,3,672,87,672,3,672,3,672,High,,138.0,
010029,THE EAST ALABAMA HEALTHCARE AUTHORITY,2000 PEPPERELL PARKWAY,OPELIKA,AL,36801,LEE,(334) 528-1300,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Yes,3,11,11,0,9,2,,,,15,15,South,1.8,Average days per 100 discharges,304,-44.8,72.7,,-7.9,Average days per 100 discharges,292,-40.2,40.7,,13.6,No different than the national rate,220,11.6,15.9,,19.0,No different than the national rate,276,16.1,22.2,,19.5,No different than the national rate,562,17.2,22.0,,17.0,No different than the national rate,548,14.8,19.7,,92,416,4,416,89,416,4,416,4,416,High,,200.0,
010033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,(205) 934-4011,Acute Care Hospitals,Government - State,Yes,Yes,2,11,11,0,8,3,,,,15,15,South,15.1,Average days per 100 discharges,560,-42.3,96.9,,2.8,Average days per 100 discharges,312,-38.8,63.9,,16.3,No different than the national rate,574,13.8,19.0,,18.4,No different than the national rate,383,15.7,21.4,,21.0,No different than the national rate,1295,18.5,23.5,,16.0,No different than the national rate,599,13.8,18.3,,91,6764,3,6764,89,6764,4,6764,3,6764,Very high,,211.0,
010034,COMMUNITY HOSPITAL INC,805 FRIENDSHIP ROAD,TALLASSEE,AL,36078,ELMORE,(334) 283-6541,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,,11,2,0,2,0,16,,,15,5,South,,Number of cases too small,,,,1,,Number of cases too small,,,,1,,,,,,5,,Number of cases too small,,,,1,20.8,No different than the national rate,31,18.5,23.5,,17.2,No different than the national rate,30,14.8,19.8,,,45,,45,,45,,45,,45,Low,,104.0,
010035,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,CULLMAN,AL,35058,CULLMAN,(256) 737-2000,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Yes,2,11,7,1,6,0,,,,15,15,South,-15.4,Average days per 100 discharges,346,-57.5,42.1,,33.4,Average days per 100 discharges,481,-13.4,99.9,,15.0,No different than the national rate,33,12.8,17.6,,19.9,No different than the national rate,310,16.9,23.1,,24.4,Worse than the national rate,537,21.6,27.2,,18.3,No different than the national rate,708,15.9,21.0,,91,332,3,332,86,332,3,332,3,332,High,,152.0,
010036,ANDALUSIA HEALTH,849 SOUTH THREE NOTCH STREET,ANDALUSIA,AL,36420,COVINGTON,(334) 222-8466,Acute Care Hospitals,Proprietary,Yes,Yes,2,11,7,0,6,1,,,,15,15,South,7.5,Average days per 100 discharges,116,-44.3,80.1,,-5.8,Average days per 100 discharges,130,-40.2,47.3,,,Number of cases too small,,,,1,19.1,No different than the national rate,105,16.1,22.6,,20.9,No different than the national rate,133,18.5,23.6,,17.4,No different than the national rate,191,15.1,19.9,,92,259,4,259,84,259,2,259,3,259,Low,,172.0,
010039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,HUNTSVILLE,AL,35801,MADISON,(256) 265-1000,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Yes,3,11,11,2,7,2,,,,15,15,South,-4.3,Average days per 100 discharges,1205,-55.3,68.8,,17.7,Average days per 100 discharges,1447,-25.6,78.8,,13.0,No different than the national rate,826,10.9,15.4,,18.9,No different than the national rate,584,16.2,22.1,,20.8,No different than the national rate,1566,18.3,23.5,,17.0,No different than the national rate,1957,14.8,19.6,,91,1328,3,1328,88,1328,3,1328,3,1328,Very high,,238.0,
010040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,AL,35903,ETOWAH,(256) 494-4000,Acute Care Hospitals,Proprietary,Yes,Yes,2,11,9,0,8,1,,,,15,15,South,36.5,Average days per 100 discharges,206,-32.5,136.4,,35.1,Average days per 100 discharges,256,-17.7,113.2,,14.9,No different than the national rate,133,12.7,17.5,,20.9,No different than the national rate,187,17.9,24.1,,22.1,No different than the national rate,416,19.8,24.7,,19.2,No different than the national rate,457,16.7,21.8,,88,522,2,522,81,522,2,522,2,522,Medium,,201.0,
010044,MARION REGIONAL MEDICAL CENTER,1256 MILITARY STREET SOUTH,HAMILTON,AL,35570,MARION,(205) 921-6200,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,3,11,4,1,3,0,,,5,15,,South,19.6,Average days per 100 discharges,25,-24.1,86.3,,6.2,Average days per 100 discharges,54,-30.0,58.1,,,Number of cases too small,,,,1,19.5,No different than the national rate,31,16.3,23.1,,22.2,No different than the national rate,27,19.3,25.0,,17.6,No different than the national rate,54,15.2,20.5,,,97,,97,,97,,97,,97,Low,,104.0,
010045,FAYETTE MEDICAL CENTER,1653 TEMPLE AVENUE NORTH,FAYETTE,AL,35555,FAYETTE,(205) 932-5966,Acute Care Hospitals,Voluntary non-profit - Other,Yes,,4,11,5,1,4,0,,,,15,15,South,-37.2,Average days per 100 discharges,51,-69.5,10.1,,-33.0,Average days per 100 discharges,71,-58.4,3.6,,,Number of cases too small,,,,1,19.2,No different than the national rate,35,16.2,22.5,,21.3,No different than the national rate,48,18.7,24.2,,16.3,No different than the national rate,91,14.1,18.8,,95,148,5,148,96,148,5,148,5,148,Low,,113.0,
010046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,GADSDEN,AL,35901,ETOWAH,(256) 543-5200,Acute Care Hospitals,Proprietary,Yes,,3,11,8,0,6,2,,,,15,15,South,-8.8,Average days per 100 discharges,275,-60.7,67.4,,15.1,Average days per 100 discharges,370,-27.9,76.6,,14.6,No different than the national rate,156,12.6,16.9,,20.7,No different than the national rate,220,17.5,24.2,,22.8,No different than the national rate,536,20.3,25.6,,18.8,No different than the national rate,704,16.4,21.4,,91,442,3,442,89,442,4,442,3,442,Medium,,155.0,
010049,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,ENTERPRISE,AL,36330,COFFEE,(334) 347-0584,Acute Care Hospitals,Proprietary,Yes,Yes,4,11,7,1,6,0,,,,15,15,South,-35.9,Average days per 100 discharges,100,-68.1,14.5,,14.6,Average days per 100 discharges,156,-23.2,70.3,,,Number of cases too small,,,,1,19.7,No different than the national rate,90,16.8,23.4,,20.5,No different than the national rate,138,17.9,23.3,,16.8,No different than the national rate,193,14.4,19.4,,92,340,4,340,86,340,3,340,3,340,Medium,,142.0,
