facility_id,hcahps_measure_id,hcahps_question,patient_survey_star_rating,patient_survey_star_rating_footnote,hcahps_linear_mean_value,number_of_completed_surveys,number_of_completed_surveys_footnote,survey_response_rate_percent,start_date,end_date
010001,H_COMP_1_LINEAR_SCORE,Nurse communication - linear mean score,,,91,1392,,17,2024-10-01,2025-09-30
010001,H_COMP_1_STAR_RATING,Nurse communication - star rating,3,,,1392,,17,2024-10-01,2025-09-30
010001,H_HSP_RATING_LINEAR_SCORE,Overall hospital rating - linear mean score,,,90,1392,,17,2024-10-01,2025-09-30
010001,H_HSP_RATING_STAR_RATING,Overall hospital rating - star rating,4,,,1392,,17,2024-10-01,2025-09-30
010001,H_STAR_RATING,Summary star rating,4,,,1392,,17,2024-10-01,2025-09-30
010005,H_COMP_1_LINEAR_SCORE,Nurse communication - linear mean score,,,90,745,,17,2024-10-01,2025-09-30
010005,H_COMP_1_STAR_RATING,Nurse communication - star rating,3,,,745,,17,2024-10-01,2025-09-30
010005,H_HSP_RATING_LINEAR_SCORE,Overall hospital rating - linear mean score,,,87,745,,17,2024-10-01,2025-09-30
010005,H_HSP_RATING_STAR_RATING,Overall hospital rating - star rating,3,,,745,,17,2024-10-01,2025-09-30
010005,H_STAR_RATING,Summary star rating,3,,,745,,17,2024-10-01,2025-09-30
010006,H_COMP_1_LINEAR_SCORE,Nurse communication - linear mean score,,,89,1781,,18,2024-10-01,2025-09-30
010006,H_COMP_1_STAR_RATING,Nurse communication - star rating,2,,,1781,,18,2024-10-01,2025-09-30
010006,H_HSP_RATING_LINEAR_SCORE,Overall hospital rating - linear mean score,,,84,1781,,18,2024-10-01,2025-09-30
010006,H_HSP_RATING_STAR_RATING,Overall hospital rating - star rating,2,,,1781,,18,2024-10-01,2025-09-30
010006,H_STAR_RATING,Summary star rating,2,,,1781,,18,2024-10-01,2025-09-30
010007,H_COMP_1_LINEAR_SCORE,Nurse communication - linear mean score,,,,84,6,15,2024-10-01,2025-09-30
010007,H_COMP_1_STAR_RATING,Nurse communication - star rating,,15,,84,6,15,2024-10-01,2025-09-30
010007,H_HSP_RATING_LINEAR_SCORE,Overall hospital rating - linear mean score,,,,84,6,15,2024-10-01,2025-09-30
010007,H_HSP_RATING_STAR_RATING,Overall hospital rating - star rating,,15,,84,6,15,2024-10-01,2025-09-30
010007,H_STAR_RATING,Summary star rating,,15,,84,6,15,2024-10-01,2025-09-30
010011,H_COMP_1_LINEAR_SCORE,Nurse communication - linear mean score,,,90,1203,,21,2024-10-01,2025-09-30
010011,H_COMP_1_STAR_RATING,Nurse communication - star rating,3,,,1203,,21,2024-10-01,2025-09-30
010011,H_HSP_RATING_LINEAR_SCORE,Overall hospital rating - linear mean score,,,87,1203,,21,2024-10-01,2025-09-30
010011,H_HSP_RATING_STAR_RATING,Overall hospital rating - star rating,3,,,1203,,21,2024-10-01,2025-09-30
010011,H_STAR_RATING,Summary star rating,3,,,1203,,21,2024-10-01,2025-09-30
010012,H_COMP_1_LINEAR_SCORE,Nurse communication - linear mean score,,,92,239,,14,2024-10-01,2025-09-30
010012,H_COMP_1_STAR_RATING,Nurse communication - star rating,4,,,239,,14,2024-10-01,2025-09-30
010012,H_HSP_RATING_LINEAR_SCORE,Overall hospital rating - linear mean score,,,85,239,,14,2024-10-01,2025-09-30
010012,H_HSP_RATING_STAR_RATING,Overall hospital rating - star rating,2,,,239,,14,2024-10-01,2025-09-30
010012,H_STAR_RATING,Summary star rating,3,,,239,,14,2024-10-01,2025-09-30
010016,H_COMP_1_LINEAR_SCORE,Nurse communication - linear mean score,,,90,908,,19,2024-10-01,2025-09-30
010016,H_COMP_1_STAR_RATING,Nurse communication - star rating,3,,,908,,19,2024-10-01,2025-09-30
010016,H_HSP_RATING_LINEAR_SCORE,Overall hospital rating - linear mean score,,,85,908,,19,2024-10-01,2025-09-30
010016,H_HSP_RATING_STAR_RATING,Overall hospital rating - star rating,2,,,908,,19,2024-10-01,2025-09-30
010016,H_STAR_RATING,Summary star rating,3,,,908,,19,2024-10-01,2025-09-30
010019,H_COMP_1_LINEAR_SCORE,Nurse communication - linear mean score,,,94,425,,18,2024-10-01,2025-09-30
010019,H_COMP_1_STAR_RATING,Nurse communication - star rating,5,,,425,,18,2024-10-01,2025-09-30
010019,H_HSP_RATING_LINEAR_SCORE,Overall hospital rating - linear mean score,,,91,425,,18,2024-10-01,2025-09-30
010019,H_HSP_RATING_STAR_RATING,Overall hospital rating - star rating,4,,,425,,18,2024-10-01,2025-09-30
010019,H_STAR_RATING,Summary star rating,4,,,425,,18,2024-10-01,2025-09-30
010021,H_COMP_1_LINEAR_SCORE,Nurse communication - linear mean score,,,,62,6,14,2024-10-01,2025-09-30
010021,H_COMP_1_STAR_RATING,Nurse communication - star rating,,15,,62,6,14,2024-10-01,2025-09-30
010021,H_HSP_RATING_LINEAR_SCORE,Overall hospital rating - linear mean score,,,,62,6,14,2024-10-01,2025-09-30
010021,H_HSP_RATING_STAR_RATING,Overall hospital rating - star rating,,15,,62,6,14,2024-10-01,2025-09-30
010021,H_STAR_RATING,Summary star rating,,15,,62,6,14,2024-10-01,2025-09-30
010022,H_COMP_1_LINEAR_SCORE,Nurse communication - linear mean score,,,,53,6,22,2024-10-01,2025-09-30
010022,H_COMP_1_STAR_RATING,Nurse communication - star rating,,15,,53,6,22,2024-10-01,2025-09-30
010022,H_HSP_RATING_LINEAR_SCORE,Overall hospital rating - linear mean score,,,,53,6,22,2024-10-01,2025-09-30
010022,H_HSP_RATING_STAR_RATING,Overall hospital rating - star rating,,15,,53,6,22,2024-10-01,2025-09-30
010022,H_STAR_RATING,Summary star rating,,15,,53,6,22,2024-10-01,2025-09-30
010023,H_COMP_1_LINEAR_SCORE,Nurse communication - linear mean score,,,90,1566,,18,2024-10-01,2025-09-30
010023,H_COMP_1_STAR_RATING,Nurse communication - star rating,3,,,1566,,18,2024-10-01,2025-09-30
010023,H_HSP_RATING_LINEAR_SCORE,Overall hospital rating - linear mean score,,,86,1566,,18,2024-10-01,2025-09-30
010023,H_HSP_RATING_STAR_RATING,Overall hospital rating - star rating,3,,,1566,,18,2024-10-01,2025-09-30
010023,H_STAR_RATING,Summary star rating,3,,,1566,,18,2024-10-01,2025-09-30
010024,H_COMP_1_LINEAR_SCORE,Nurse communication - linear mean score,,,91,672,,17,2024-10-01,2025-09-30
010024,H_COMP_1_STAR_RATING,Nurse communication - star rating,3,,,672,,17,2024-10-01,2025-09-30
010024,H_HSP_RATING_LINEAR_SCORE,Overall hospital rating - linear mean score,,,87,672,,17,2024-10-01,2025-09-30
010024,H_HSP_RATING_STAR_RATING,Overall hospital rating - star rating,3,,,672,,17,2024-10-01,2025-09-30
010024,H_STAR_RATING,Summary star rating,3,,,672,,17,2024-10-01,2025-09-30
010029,H_COMP_1_LINEAR_SCORE,Nurse communication - linear mean score,,,92,416,,18,2024-10-01,2025-09-30
010029,H_COMP_1_STAR_RATING,Nurse communication - star rating,4,,,416,,18,2024-10-01,2025-09-30
010029,H_HSP_RATING_LINEAR_SCORE,Overall hospital rating - linear mean score,,,89,416,,18,2024-10-01,2025-09-30
010029,H_HSP_RATING_STAR_RATING,Overall hospital rating - star rating,4,,,416,,18,2024-10-01,2025-09-30
010029,H_STAR_RATING,Summary star rating,4,,,416,,18,2024-10-01,2025-09-30
