facility_id,condition,measure_id,measure_name,score,sample,footnote,start_date,end_date
010001,Emergency Department,EDV,Emergency department volume,Very high,,,2024-01-01,2024-12-31
010001,Emergency Department,OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",214.0,405,,2024-10-01,2025-09-30
010001,Emergency Department,OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",212.0,396,,2024-10-01,2025-09-30
010001,Emergency Department,OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,,,1,2024-10-01,2025-09-30
010001,Emergency Department,OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,,,1,2024-10-01,2025-09-30
010001,Emergency Department,OP_22,Left before being seen,3.0,62163,,2024-01-01,2024-12-31
010001,Emergency Department,OP_23,Head CT results,82.0,11,,2024-10-01,2025-09-30
010005,Emergency Department,EDV,Emergency department volume,Very high,,,2024-01-01,2024-12-31
010005,Emergency Department,OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",146.0,1214,,2024-10-01,2025-09-30
010005,Emergency Department,OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",143.0,1155,,2024-10-01,2025-09-30
010005,Emergency Department,OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,242.0,30,,2024-10-01,2025-09-30
010005,Emergency Department,OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,332.0,31,,2024-10-01,2025-09-30
010005,Emergency Department,OP_22,Left before being seen,3.0,60663,,2024-01-01,2024-12-31
010005,Emergency Department,OP_23,Head CT results,42.0,12,,2024-10-01,2025-09-30
010006,Emergency Department,EDV,Emergency department volume,High,,,2024-01-01,2024-12-31
010006,Emergency Department,OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",158.0,376,,2024-10-01,2025-09-30
010006,Emergency Department,OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",147.0,328,,2024-10-01,2025-09-30
010006,Emergency Department,OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,218.0,13,,2024-10-01,2025-09-30
010006,Emergency Department,OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,328.0,36,,2024-10-01,2025-09-30
010006,Emergency Department,OP_22,Left before being seen,1.0,46884,,2024-01-01,2024-12-31
010006,Emergency Department,OP_23,Head CT results,81.0,16,,2024-10-01,2025-09-30
010007,Emergency Department,EDV,Emergency department volume,Low,,,2024-01-01,2024-12-31
010007,Emergency Department,OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",137.0,1103,,2024-10-01,2025-09-30
010007,Emergency Department,OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",130.0,1004,,2024-10-01,2025-09-30
010007,Emergency Department,OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,242.0,57,,2024-10-01,2025-09-30
010007,Emergency Department,OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,295.0,43,,2024-10-01,2025-09-30
010007,Emergency Department,OP_22,Left before being seen,1.0,11011,,2024-01-01,2024-12-31
010007,Emergency Department,OP_23,Head CT results,,,"1, 3",2024-10-01,2025-09-30
010011,Emergency Department,EDV,Emergency department volume,,,5,2024-01-01,2024-12-31
010011,Emergency Department,OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",168.0,369,,2024-10-01,2025-09-30
010011,Emergency Department,OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",158.0,341,,2024-10-01,2025-09-30
010011,Emergency Department,OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,,,1,2024-10-01,2025-09-30
010011,Emergency Department,OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,371.0,19,,2024-10-01,2025-09-30
010011,Emergency Department,OP_22,Left before being seen,,,5,2024-01-01,2024-12-31
010011,Emergency Department,OP_23,Head CT results,71.0,14,,2024-10-01,2025-09-30
010012,Emergency Department,EDV,Emergency department volume,Medium,,,2024-01-01,2024-12-31
010012,Emergency Department,OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",174.0,410,,2024-10-01,2025-09-30
010012,Emergency Department,OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",164.0,376,,2024-10-01,2025-09-30
010012,Emergency Department,OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,346.0,15,,2024-10-01,2025-09-30
010012,Emergency Department,OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,292.0,22,,2024-10-01,2025-09-30
010012,Emergency Department,OP_22,Left before being seen,2.0,20366,,2024-01-01,2024-12-31
010012,Emergency Department,OP_23,Head CT results,,,1,2024-10-01,2025-09-30
010016,Emergency Department,EDV,Emergency department volume,Medium,,,2024-01-01,2024-12-31
010016,Emergency Department,OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",180.0,439,,2024-10-01,2025-09-30
010016,Emergency Department,OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",182.0,422,,2024-10-01,2025-09-30
010016,Emergency Department,OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,96.0,11,,2024-10-01,2025-09-30
010016,Emergency Department,OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,,,1,2024-10-01,2025-09-30
010016,Emergency Department,OP_22,Left before being seen,2.0,31532,,2024-01-01,2024-12-31
010016,Emergency Department,OP_23,Head CT results,,,1,2024-10-01,2025-09-30
010019,Emergency Department,EDV,Emergency department volume,Medium,,,2024-01-01,2024-12-31
010019,Emergency Department,OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",189.0,373,,2024-10-01,2025-09-30
010019,Emergency Department,OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",188.0,356,,2024-10-01,2025-09-30
010019,Emergency Department,OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,,,1,2024-10-01,2025-09-30
010019,Emergency Department,OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,,,1,2024-10-01,2025-09-30
010019,Emergency Department,OP_22,Left before being seen,3.0,34390,,2024-01-01,2024-12-31
010019,Emergency Department,OP_23,Head CT results,75.0,16,,2024-10-01,2025-09-30
010021,Emergency Department,EDV,Emergency department volume,Low,,,2024-01-01,2024-12-31
010021,Emergency Department,OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",152.0,380,,2024-10-01,2025-09-30
