facility_id,measure_id,measure_name,compared_to_national,denominator,score,lower_estimate,higher_estimate,number_of_patients,number_of_patients_returned,footnote,start_date,end_date
010001,EDAC_30_AMI,Hospital return days for heart attack patients,Average days per 100 discharges,242,-2.6,-47.1,74.7,235,51,,2022-07-01,2025-06-30
010001,EDAC_30_HF,Hospital return days for heart failure patients,Average days per 100 discharges,659,-14.4,-59.7,52.9,540,173,,2022-07-01,2025-06-30
010001,EDAC_30_PN,Hospital return days for pneumonia patients,Average days per 100 discharges,586,0.7,-35.1,50.0,530,126,,2022-07-01,2025-06-30
010001,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),,,,,,,,4,2024-07-01,2025-06-30
010001,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",No different than the national rate,234,12.7,9.5,17.0,,,,2022-01-01,2024-12-31
010001,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,No different than the national rate,302,10.0,7.5,13.3,,,,2024-01-01,2024-12-31
010001,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,No different than the national rate,302,5.1,3.6,7.2,,,,2024-01-01,2024-12-31
010001,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,No different than expected,651,1.1,0.8,1.3,,,,2024-01-01,2024-12-31
010001,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,No different than the national rate,398,14.1,11.9,16.6,,,,2023-07-01,2025-06-30
010001,READM_30_CABG,Rate of readmission for CABG,No different than the national rate,173,10.0,7.5,13.0,,,,2023-07-01,2025-06-30
010001,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,No different than the national rate,232,20.4,17.9,23.0,,,,2023-07-01,2025-06-30
010001,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No different than the national rate,1107,19.9,17.7,22.3,,,,2023-07-01,2025-06-30
